,Position,Appearances,Goals,Assists,Big chances missed,Red cards,PFA_Team,Big chances created,Interceptions,Clearances,Saves,Penalties saved,High Claims
4510,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4511,0,30,0.0,2.0,0.0,0,0,0.0,38.0,51.0,0.0,0.0,0.0
4512,0,34,2.0,4.0,0.0,0,0,0.0,62.0,61.0,0.0,0.0,0.0
4513,0,26,0.0,1.0,0.0,0,0,0.0,41.0,79.0,0.0,0.0,0.0
4514,0,29,1.0,0.0,0.0,0,0,0.0,47.0,84.0,0.0,0.0,0.0
4515,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4516,0,36,0.0,0.0,0.0,1,0,0.0,62.0,50.0,0.0,0.0,0.0
4517,0,4,0.0,0.0,0.0,0,0,0.0,1.0,4.0,0.0,0.0,0.0
4518,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4519,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4520,0,6,0.0,0.0,0.0,0,0,0.0,7.0,14.0,0.0,0.0,0.0
4521,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4522,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4523,0,20,0.0,0.0,0.0,0,0,0.0,23.0,25.0,0.0,0.0,0.0
4524,0,24,5.0,0.0,0.0,0,0,0.0,28.0,91.0,0.0,0.0,0.0
4525,2,32,0.0,0.0,0.0,1,0,0.0,0.0,0.0,99.0,2.0,40.0
4526,2,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
4527,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4528,2,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4529,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4530,2,17,0.0,0.0,0.0,0,0,0.0,0.0,0.0,55.0,0.0,17.0
4531,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4532,2,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,2.0
4533,2,32,0.0,0.0,0.0,0,0,0.0,0.0,0.0,77.0,2.0,47.0
4534,2,10,0.0,0.0,0.0,0,0,0.0,0.0,0.0,27.0,1.0,9.0
4535,2,31,0.0,0.0,0.0,0,0,0.0,0.0,0.0,103.0,0.0,43.0
4536,2,4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,15.0,0.0,2.0
4537,2,34,0.0,0.0,0.0,0,0,0.0,0.0,0.0,101.0,0.0,39.0
4538,2,23,0.0,0.0,0.0,2,0,0.0,0.0,0.0,67.0,1.0,32.0
4539,2,9,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23.0,1.0,20.0
4540,2,34,0.0,0.0,0.0,0,1,0.0,0.0,0.0,83.0,0.0,20.0
4541,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4542,2,21,0.0,0.0,0.0,0,0,0.0,0.0,0.0,59.0,0.0,38.0
4543,2,37,0.0,0.0,0.0,0,0,0.0,0.0,0.0,115.0,0.0,81.0
4544,2,6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13.0,0.0,3.0
4545,2,18,0.0,0.0,0.0,0,0,0.0,0.0,0.0,51.0,0.0,16.0
4546,2,15,0.0,0.0,0.0,0,0,0.0,0.0,0.0,44.0,0.0,21.0
4547,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4548,2,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,1.0
4549,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4550,2,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7.0,0.0,1.0
4551,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4552,2,28,0.0,0.0,0.0,0,0,0.0,0.0,0.0,89.0,0.0,54.0
4553,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4554,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4555,2,35,0.0,0.0,0.0,0,0,0.0,0.0,0.0,71.0,0.0,35.0
4556,2,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11.0,0.0,10.0
4557,2,29,0.0,0.0,0.0,0,0,0.0,0.0,0.0,80.0,0.0,32.0
4558,2,38,0.0,0.0,0.0,0,0,0.0,0.0,0.0,121.0,3.0,62.0
4559,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4560,2,25,0.0,0.0,0.0,0,0,0.0,0.0,0.0,81.0,0.0,29.0
4561,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4562,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4563,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4564,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4565,2,8,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33.0,0.0,7.0
4566,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4567,2,37,0.0,0.0,0.0,0,0,0.0,0.0,0.0,88.0,0.0,35.0
4568,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4569,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4570,2,19,0.0,0.0,0.0,0,0,0.0,0.0,0.0,74.0,0.0,31.0
4571,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4572,2,7,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32.0,0.0,8.0
4573,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4574,2,34,0.0,0.0,0.0,0,0,0.0,0.0,0.0,70.0,1.0,32.0
